"answeredQuestions","asin","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","inStock","listPrice","listPrice/currency","listPrice/value","price","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","savedPrice","shippingPrice","stars","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAsins/23","variantAsins/24","variantAsins/25","variantAsins/26","variantAsins/27","variantAsins/28","variantAsins/29","variantAsins/30","variantAsins/31","variantAsins/32","variantAsins/33","variantAsins/34","variantAsins/35","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"9","B09915RBSW","Portwest","Clothing, Shoes & Jewelry › Men › Uniforms, Work & Safety › Clothing › Work Utility & Safety › Outerwear",,,,,,,,,,,,,,,,,,,"true",,"$","41.99",,"$","46.99",,,"630","/Portwest-Mens-Raincoat-rain-Coat/product-reviews/B09915RBSW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://m.media-amazon.com/images/I/711+vz7G9vL._AC_SY445_SX342_.jpg","Portwest Men's Raincoat,rain Coat","https://www.amazon.com/dp/B09915RBSW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Yellow",,
"24","B08SKCXDLH","AMKsedom","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain",,,,,,,,,,,,,,,,,,,"true",,"$","27.78",,"$","29.78",,,"1537","/Waterproof-Breathable-Eye-Catching-Reflective-Durable/product-reviews/B08SKCXDLH?reviewerType=all_reviews",,,"4.2",,"https://images-na.ssl-images-amazon.com/images/I/61MWfyX4mUL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Rain Suits for Men Women Waterproof, Breathable Rain Coats with Eye-Catching Reflective Strip, Durable Rain Gear Jacket Pants","https://www.amazon.com/dp/B08SKCXDLH","B08SHCHSNZ","B09B77X4R8","B099ZJCVBL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"127","B07BN7D18Q","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Down & Down Alternative",,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men’s must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",,"100% Polyester","Imported","Zipper closure","Machine Wash","Easy through chest and tapered through waist","Water-resistant, durable fabric with filling for warmth","Hooded design","Full-length zippered closure at front","An Amazon brand",,,,,,,"true",,"$","13.99",,"$","43.6",,,"7039","/Amazon-Essentials-Lightweight-Water-Resistant-Packable/product-reviews/B07BN7D18Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/81TnIAEZoBS.__AC_SY445_SX342_QL70_FMwebp_.jpg","Amazon Essentials Men's Lightweight Water-Resistant Packable Hooded Puffer Jacket","https://www.amazon.com/dp/B07BN7D18Q","B085YL1MMK","B07BN72SZ5","B085YKKZ4M","B08SS8622H","B07BN782DS","B08SS2CQL7","B08SS84J2X","B08SS4GP25","B08SS8623C","B08SSB2NFJ","B08SS2CW2R","B08SS4G7S5","B09RFP4CWT","B08SS8MDPY","B08SS81RBF","B085YKP5H7","B07BN7GC8Q","B07BN782CS","B085YLCHX1","B085YLDYWG","B085YL5966","B07C8XSWH6",,,,,,,,,,,,,,,"Size","","Color","Black",,
"105","B079GFG7SW","Global Blank","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Windbreakers",,,,,,,,,,,,,,,,,,,"true",,"$","29.99",,"$","41.99",,,"5768","/Global-Hooded-Lightweight-Windbreaker-Resistant/product-reviews/B079GFG7SW?reviewerType=all_reviews",,,"4.2",,"https://images-na.ssl-images-amazon.com/images/I/81lEbWZEEaL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Global Blank Lightweight Winter Water-Resistant Windbreaker, Zip-Up Hoodie Jacket for Men and Women","https://www.amazon.com/dp/B079GFG7SW","B079GBK5Q3","B079GJXYZL","B079G9SLVL","B079G8HPDS","B07CZLTBSV","B07D4NRWVM","B07ZJSW2VL","B08B1C58R7","B089ZWVLXY","B089ZXWKXX","B08B12D82J","B08B14ZDP1","B08B11RM5K","B08177P35V","B08175GSZS","B081762913","B081D76H7P","B081D7VHND","B07M658N45",,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"72","B01L0KQ1WO","Wrangler Authentics","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Fleece",,,,,,,,,,,,,,,,,,,"true",,"$","24.99",,"$","27.33",,,"19101","/Wrangler-Authentics-Sweater-Fleece-Quarter-Zip/product-reviews/B01L0KQ1WO?reviewerType=all_reviews",,,"4.5",,"https://m.media-amazon.com/images/I/A1X74ZCjO+L._AC_SX342_SY445_.jpg","Wrangler Authentics Men's Long Sleeve Fleece Quarter-Zip","https://www.amazon.com/dp/B01L0KQ1WO","B01L0KRO2K","B01L0KSQOK","B01L0KR35S","B07RW8CW74","B0B8F6VHGL","B0B8F5LJ1M","B07RW8FCFC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Light Heather Gray",,
"20","B07NRYKNY4","Saukiee","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Vests",,,,,,,,,,,,,,,,,,,"true",,"$","23.99",,"$","32.99",,,"928","/Saukiee-Casual-Jacket-Vintage-Sleeveless/product-reviews/B07NRYKNY4?reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/716z72Lx00L.__AC_SY445_SX342_QL70_FMwebp_.jpg","Saukiee Men's Casual Lapel Denim Vest Jacket Vintage Slim Fit Sleeveless Ripped Jeans Vests","https://www.amazon.com/dp/B07NRYKNY4","B07VW3413R","B07Q2GFCBT","B07Q2FC29R","B09T38L8GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Light Blue",,
"193","B0738J92CM","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Fleece",,,,,,,,,,,,,,,,,,,"true",,"$","16.07",,"$","29.2",,,"30820","/Amazon-Essentials-Full-Zip-Fleece-Jacket/product-reviews/B0738J92CM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/81McI2xG3NS.__AC_SY445_SX342_QL70_FMwebp_.jpg","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","https://www.amazon.com/dp/B0738J92CM","B073GB8RWM","B096YKDLV5","B073GB8RWM","B079LSRMJ4","B07NZ8BHG8","B073GB8RWQ","B085YX376K","B0738G2241","B079LNQM9Z","B0738H6TF9","B07NYB2PCV","B085YX377V","B07NZ89WBR","B08SX5KK7H","B08SX3XSG2","B08SX5LKC3","B08SX3L64S","B085YVSLF5","B08SX7M38R","B08SX52CW4","B08SX2F3WH","B085YX4V9L","B085YVWSM6","B08SX5VCG5","B085YV53N7","B08SX2CGFM","B08SX5B7W8","B08SX2F81W","B08SX5B82T","B073G89ZV4","B085YVSQDQ","B085YZMQ4G","B07P3N64TS","B0738GHKNP","B085YX6RLD","B079LWSL7W","Material Type","Polyester","Color","Black","Size",""
"46","B08Y1LFTKN","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Leather & Faux Leather",,,,,,,,,,,,,,,,,,,"true",,"$","39.94",,"$","47.99",,,"1093","/Fahsyee-Leather-Jackets-Motorcycle-Asymmetric/product-reviews/B08Y1LFTKN?reviewerType=all_reviews",,,"4.3",,"https://images-na.ssl-images-amazon.com/images/I/7192mg0t73L.__AC_SX342_SY445_QL70_FMwebp_.jpg","Fahsyee Leather Jackets for Men, Faux Bomber Jacket Men Motorcycle Lapel Asymmetric Zip-Up Blet Slim Fit Biker Coat","https://www.amazon.com/dp/B08Y1LFTKN","B08BCDVBB7","B093GDCWMK","B0B68TGSJX","B0B2WBYXNM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black","Size","",,
"4","B07C8GZTLD","Port Authority","Clothing, Shoes & Jewelry › Men › Clothing",,"Style #: F218 You'll appreciate the comfort (and the value) of this soft midweight pullover all year round. 13.8-ounce 100% polyester Twill-taped neck Reverse coil zipper Chin guard Bungee cord zipper pull Open cuffs Open hem with drawcord and toggles for adjustability",,"100% Polyester","Made in the USA or Imported","Zipper closure","F218 13.8-ounce 100% polyester","Twill-taped neck","Reverse coil zipper","Chin guard","Bungee cord zipper pull",,,,,,,,"true",,"$","23.98",,"$","44.12",,,"249","/Port-Authority-Value-Fleece-Pullover/product-reviews/B07C8GZTLD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.3",,"https://images-na.ssl-images-amazon.com/images/I/81GbqFEp7nL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Port Authority Men's Value Fleece 1/4 Zip Pullover","https://www.amazon.com/dp/B07C8GZTLD","B00FPUYMGI","B0085RG9F0","B0085RG32Y","B008LM4HLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Iron Grey",,
"12","B09LLRLNSK","PTEROMY","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain","Friday, September 30",,,,,,,,,,,,,,,,,,"true",,,,,,,,"Eligible for Return, Refund or Replacement within 30 days of receipt","1084","/PTEROMY-Lightweight-Raincoat-Camping-Fishing/product-reviews/B09LLRLNSK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61UYK2XEqKL.__AC_SY445_SX342_QL70_FMwebp_.jpg","PTEROMY Hooded Rain Poncho for Adult with Pocket, Waterproof Lightweight Unisex Raincoat for Hiking Camping Emergency","https://www.amazon.com/dp/B09LLRLNSK","B09LLW2Q4R","B09LLRLNSK","B09LM5GWDG","B09LLQ8W6M","B09LLPGMW8","B09LLHQKN3","B09LLHRW4X","B09LLVW8Q8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","One Size","Color","Blue",,
"3","B087Q497B9","adidas","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Active & Performance › Insulated",,,,,,,,,,,,,,,,,,,"true",,"$","23.57",,"$","79.95",,,"1974","/adidas-mens-Tiro-Track-Jacket/product-reviews/B087Q497B9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/916pGrtW0WL.__AC_SY445_SX342_QL70_FMwebp_.jpg","adidas Men's Tiro 21 Track Jacket","https://www.amazon.com/dp/B087Q497B9","B087C3NP5T","B087C3KJSM","B091JYL7KR","B087C3R23Z","B089KCQZRY","B09MDDKK2N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"128","B075HS7F26","sandbank","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Lightweight Jackets › Varsity Jackets",,,,,,,,,,,,,,,,,,,"true",,"$","31.99",,"$","37.99",,,"7445","/sandbank-Lightweight-Softshell-Flight-Bomber/product-reviews/B075HS7F26/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.3",,"https://images-na.ssl-images-amazon.com/images/I/61V3Nw470rL.__AC_SY445_SX342_QL70_FMwebp_.jpg","sandbank Men's Slim Fit Lightweight Softshell Flight Bomber Jacket Coat","https://www.amazon.com/dp/B075HS7F26","B076CD81DW","B076CLSLDC","B076C2RTCJ","B07MDFVJP2","B09Y8P4RSB","B07MH1KQKG","B09YPPVDJL","B09P56XY97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","Black #2","Size","",,
"64","B0738HBW89","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Vests",,,,,,,,,,,,,,,,,,,"true",,"$","23.76",,"$","32.4",,,"8655","/Amazon-Essentials-Lightweight-Water-Resistant-Packable/product-reviews/B0738HBW89/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/81yypbjPLgS.__AC_SY445_SX342_QL70_FMwebp_.jpg","Amazon Essentials Men's Packable Lightweight Water-Resistant Puffer Vest","https://www.amazon.com/dp/B0738HBW89","B07BN43CMG","B085YKZJMV","B08SS99HX2","B07BN69FBP","B08SS4GC6W","B08SS4GJ5G","B08SS4GBR1","B08SS4F92L","B08SS4FRNW","B08SS4H8GX","B07C8YFYZD","B08SS2CW3S","B08SS9J15G","B08SS6KM1R","B085YKKZ23","B085YKNKLN","B07C8Y9JZH","B07BN4C7YF","B085YL5QM3","B085YL27QL","B085YKR37Y",,,,,,,,,,,,,,,,"Size","","Color","Black",,
"47","B07G3QLD7R","","Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Trench & Rain","Fri, Sep 30",,"Tue, Sep 27","100% Polyester","Imported","Polyester lining","Pull On closure","Hand Wash Only","[Material]: 100% Polyester. Strong waterproof backing with heat-sealed seams, Waterproof, quick-drying, touched soft, comfortable, windproof.","[Strong Waterproof Function]: Made of high density polyester fabrics and combined with PU 3000MM waterproof / sandproof / windproof, processing delivers lasting durability; all seams go through a caulking treatment and keep you and your belongings dry.","[Features]: The length below the knee fully protects you from rain and snow; cuffs with snaps, side pocket, convenient for storing personal items such as keys and mobile phones.","[Care]: Wipe with a cloth, natural air drying.","[Occasions]: Suitable for camping, hiking, riding, biking, mountaineering, picnic, running, walking, traveling, dog walking, watching football games, and other outdoor activities and sports.",,,,,,"true",,,,,,,,"Eligible for Return, Refund or Replacement within 30 days of receipt","6798","/Rain-Poncho-Waterproof-Raincoat-Universe/product-reviews/B07G3QLD7R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/61k7SoDfbdL.__AC_SY445_SX342_QL70_ML2_.jpg","Hooded Rain Poncho Waterproof Raincoat Jacket for Men Women Adults","https://www.amazon.com/dp/B07G3QLD7R","B0B62HGK2H","B0B62J62J1","B0B62HNYYR","B0B62JLH7H","B07Q3PB9D9","B07Q4MKCRG","B08ZXK5HCY","B082HCZFQP","B082HCXMS4","B08Q7761M5","B07Q7Y9CF9","B07G3SRXP2","B07NX5HWH3","B098DHF47Q","B0B1ZYNTVQ","B07G3QLD7R","B08ZXKZ99C","B0B3QP23X8","B0B3R7N7Z6","B0B616V17G","B0B6157B9D","B0B617RZY1","B0B6162K87","B0B6196TN3",,,,,,,,,,,,,"Color","B-universe(3 in 1)",,,,
"46","B0B5ZCW1KZ","Funny Guy Mugs","",,,,"Nylon","Zipper closure","Hand Wash Only","LOOK & FEEL THE 80's & 90's: A Must Have For Any 80's Or 90's Party!! Also Perfect For An Epic Windbreaker Family Photo!! When You Slip On This Windbreaker You Will Feel The Force Of The 80's & 90's Throughout Your Entire Body!","TRUE HIGH QUALITY WINDBREAKER: They Are Made Of 100% Durable Nylon To Maintain That True Retro Look & Feel, Not Cheap Sweaty Polyester!! The 80's & 90's Deserve The Best! Also Features 2 Convient Zippered Pockets To Keep Your Casette Tapes Or Other Belongings Secure!!","PRACTICAL & STYLISH: More To This Windbreaker Than A Gnarly Good Looking Party Acessorry!! The Jacket Is Unlined For A Versatile Lightweight Feel Perfect For A Night On The Town Or Run In The Park! The Jacket Is Also Waterproof, So The Wind & Rain Are No Match For This Windbreaker!!","A UNIQUE GIFT: Looking For A Unique Gift For Yourself Or A Gift For Someone Who Has Everything?? Need A White Elephant Gift? Your Search Is Over, This Windbreaker Is For YOU!","100% SATISFACTION GUARANTEE: Purchase This Windbreaker With Confidence Knowing This Official Funny Guy Mugs Creation Was Created To Last & Provide You A True Retro Look & Feel Or Your Money Back!!",,,,,,,,"true",,"$","48.99",,"$","49.99",,,"1914","/Funny-Guy-Mugs-Retro-Windbreaker/product-reviews/B0B5ZCW1KZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/91MAa2XVJVL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Funny Guy Mugs 80s & 90s Retro Windbreaker","https://www.amazon.com/dp/B0B5ZCW1KZ","B06Y4HLZG8","B01J800MUK","B0171XNNRK","B07CZ2Z2BT","B0171XN44M","B07CZ3RRJP","B07CZ1GXKR","B01MTOJAQ7","B0171XN4YM","B07KKP8TFP","B07KKN5HSX","B0171XNI7U","B07YSVL5BG",,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Like Totally Neon",,
